,roles,companies,locations,experience,skills
166,Data Scientist,Scienaptic Systems,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-7 Yrs,Business processLoansBusiness analyticsAnalyticalFinanceCredit underwritingCredit risk managementSQL
167,Data Scientist,Digital Glyde,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,Data analysisOperations researchSocial scienceAnalyticalReport writingMySQLCloudDatabase
168,Data Scientist,Intersoft Kk,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,Computer visionGCPArtificial IntelligenceMySQLMachine learningPHPData structuresSQL
169,Data Scientist,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-7 Yrs,TrainingData analysisdata scienceMachine learningInfrastructureProgrammingmodel developmentDeployment
170,Lead Data Scientist,Elitefit.ai,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,PilotPrototypeSimulationdata scienceMachine learningMentorManagementOperations
171,Principal Data Scientist,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",12-15 Yrs,data sciencePharmaMachine learningHealthcaremicrosoftbig dataAnalyticsPython
172,Lead Data Scientist,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-8 Yrs,Data analysisPrototypedata scienceAnalyticalMachine learningSCALAHypothesis TestingDeployment
173,Data Scientist,Kashsam Data Solutions,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,Data analysisCodingProcess improvementdata governanceManagementProcessImprovementAnalysis
174,Data Scientist,WSD Consultant,"Mumbai, Hyderabad, Pune, Chennai, Gurugram, Bengaluru",1-5 Yrs,E-learningdata scienceApplication programmingArtificial IntelligenceMachine learningManager TechnologyDoctorManagement
175,Lead Data Scientist,Cornerstone,"Mumbai, Hyderabad, Pune",6-9 Yrs,Artificial IntelligenceNatural Language ProcessingMachine LearningProcessingIntelligenceLanguagesProcessMachine
176,Sr . Data Scientist,Enlink,"Mumbai, Navi Mumbai, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,Computer scienceFront endData modelingMISJavascriptData structuresHTMLUnit testing
177,Data Scientist,The It Mind Services,"Kolkata, Mumbai, Hyderabad, New Delhi, Pune, Chennai, Bengaluru",4-12 Yrs,Machine learningData collectiondata visualizationCollectionsMachineData
178,Senior Data Scientist,Prismforce,"Kolkata, Mumbai, Pune, Bengaluru",5-9 Yrs,Product managementIT servicesSupply chainERPAutomationAnalyticalMachine learningForecasting
179,Senior Data Scientist,Springer Nature,Hybrid - Pune,6-9 Yrs,Artificial IntelligenceMachine LearningNatural Language ProcessingDeep LearningProcessingDataIntelligenceLanguages
180,AI/ML Engineer,InfoCepts,"Hybrid - Nagpur, Pune, Chennai",5-9 Yrs,Machine LearningData SciencePythonDataScienceArtificial IntelligenceMachineMl
181,"Senior Associate, Data Scientist",BNY Mellon,Pune,2-3 Yrs,data scienceBankingProgrammingManager TechnologyManagementAnalyticsFinancial servicesScience
182,Gen AI -Data Scientist,Xoriant,Hybrid - Pune,5-9 Yrs,Open AIGenerative AINatural Language ProcessingLLMPythonProcessingDataLanguages
183,Lead Data Scientist,Birlasoft,Hybrid - Pune,8-10 Yrs,Data ScienceNatural Language ProcessingMachine LearningDeep LearningComputer VisionAzure Machine LearningPythonScience
184,"Associate, Data Scientist II",BNY Mellon,Pune,3-5 Yrs,Unixspring bootBloombergCodingsparkDiversity and InclusionShell scriptingSCALA
185,Senior Data Scientist,Wolters Kluwer - Medknow Publications,"Kalyani, Pune",6-8 Yrs,Computer scienceLinuxProduction supportCodingShell scriptingMachine learningData structuresAnalytics
186,Data Scientist - PHD,ATG Business Solutions,"Hyderabad, Bengaluru, Mumbai (All Areas)",1-4 Yrs,Data ScienceDeep LearningArtificial IntelligenceMachine LearningDataMachineScienceIntelligence
187,Data Scientist,AXIS DIRECT,Mumbai(Ghansoli +1),4-8 Yrs,Machine LearningPythonData SciencePredictive ModelingTime Series AnalysisStatistical ModelingData MiningPredictive Analytics
188,Consultant/Senior Consultant - Fraud Risk Model,Tiger Analytics,"Hyderabad, Chennai, Bengaluru",2-8 Yrs,SASCodingMachine learningData structuresHealthcareAnalyticsMonitoringFinancial services
189,Senior / Lead Data Scientist,Tiger Analytics,"Hyderabad, Chennai, Bengaluru",6-10 Yrs,Backenddata scienceMachine learningLeadmodel developmentContinuous improvementAnalyticsProject execution
190,Data Science Developer,Darahaas Global Services,"Hyderabad, Bangalore/Bengaluru",3-5 Yrs,Data Sciencepythongenerative aiArtificial IntelligenceMachine LearningMachineIntelligenceScience
191,Senior Data Scientist (Technology Lead),Tiger Analytics,"Hyderabad, Chennai, Bengaluru",7-10 Yrs,data scienceArtificial IntelligenceConsultingMachine learningData collectionApplication developmentData analyticsRisk management
192,Data Scientist - Telco,PayU,Bengaluru,2-7 Yrs,TelecomNoSQLNeural networksAnalyticalMachine learningForecastingOperationsSQL
193,Data Scientist 3,Paypal,Bengaluru,5-7 Yrs,Miningdata scienceAnalyticalCommerceTeradataFinancial servicesMonitoringProduct marketing
194,Senior Data Scientist,Mresult Technologies,"Hybrid - Mangaluru, Bangalore Rural",7-12 Yrs,Data ScienceStatistical ModelingMachine LearningPredictive AnalyticsPredictive ModelingTime Series AnalysisStatistical AnalysesStatistics
195,"Data Scientist - Python, SQL- Gurgoan phase - III",Team Plus Staffing Solution,Gurugram(Sector-3A Gurgaon),5-10 Yrs,Data ScienceCloudMlSQLPythonData ScientistAzurDeep Learning
196,Senior Data Scientist Lead,Ltimindtree,"Hybrid - Pune, Bangalore Rural, Chennai",5-10 Yrs,Open AINatural Language ProcessingMachine LearningPythonAzure Data Science stackMachineScienceLanguages
197,Data Scientist- LLM - US MNC (analytics),US MNC (analytics),"Hybrid - Pune, Gurugram, Bengaluru",3-7 Yrs,PythonTensorflowPredictive Modelinggenerative aiArtificial IntelligenceNatural Language ProcessingNeural NetworksLLM
198,Looking For Data Scientist,MNC Company,"Hybrid - Pune, Chennai, Bengaluru",4-9 Yrs,Artificial IntelligenceNatural Language ProcessingMachine LearningPythonSQLIntelligenceMachineLanguages
199,Leadership Role - Data Science ( Retail Analytics ) : ( Only Females ),Leading Client of Pylon Consulting,"Hybrid - Kolkata, West Bengal, Bangalore Rural, Karnataka, Mumbai (All Areas)",8-12 Yrs,pythonData sciencecloud platformsmachine learningretail analyticsgcpMachine learning frameworksaws
