,roles,companies,locations,experience,skills
34,Data Scientist,Orange Business Services,Mumbai,4-5 Yrs,Cluster analysisAutomationOperations researchAnalyticalMachine learningNatural language processingdelivery operationsSQL
35,Lead Data Scientist,Baker Hughes,Bengaluru,9-14 Yrs,Data analysisArtificial IntelligenceSignal processingAgileManager TechnologyIndustrial engineeringdigital strategyAnalytics
36,Data Scientist,Siemens,Bengaluru,2-3 Yrs,BackendGITCodingMachine learningHealthcareData qualityMonitoringSQL
37,"SENIOR, DATA SCIENTIST (Computer Vision)",Walmart,Bengaluru,6-9 Yrs,Computer visionAnalyticalMachine learningSupply chain operationsSEZManager Quality ControlInformation technologyMonitoring
38,Senior Data Scientist,Walmart,Bengaluru,10-20 Yrs,Supply chainData analysisdata scienceNetworkingCodingAnalyticalForecastingAnalytics
39,Data Scientist,Volvo Financial Services,Bengaluru,3-6 Yrs,AutomationC++PowertrainMechatronicsSimulationConstruction equipmentSimulinkMATLAB
40,Senior Data Scientist,Siemens,Bengaluru,3-8 Yrs,Business servicesOperations researchSAPAnalyticalMachine learningBusiness process managementOracleBioinformatics
41,Urgent opportunity of Data Scientist,Airtel,"Gurugram, Bengaluru",4-7 Yrs,Speech Recognitionconversational AINatural Language Processingvoice-botDeep LearningSpeechDataProcess
42,Staff Data Scientist,Walmart,Bengaluru,5-8 Yrs,Computer scienceComputer visionPrototypeNetworkingNeural networksConsultingMachine learningContinuous improvement
43,Staff Data Scientist,Walmart,Bengaluru,10-12 Yrs,Computer scienceComputer visionPrototypeNetworkingNeural networksConsultingMachine learningContinuous improvement
44,Senior Data Scientist,Walmart,Bengaluru,6-8 Yrs,Computer scienceComputer visionPrototypeNetworkingNeural networksMachine learningContinuous improvementInformation technology
45,Principal Data Scientist,Walmart,Bengaluru,10-12 Yrs,Computer scienceComputer visionPrototypeNetworkingConsultingMachine learningData qualityContinuous improvement
46,Sr. Data Scientist - ML Ops,Visa,Bengaluru,4-8 Yrs,Preditive modelingData analysisLinuxData ingFinanial serviesContinuous improvementMonitoringLogisti regression
47,Manager / Principal Specialist Data Scientist,"Wood Group Pratt & Whitney Industrial Turbine Services, LLC",Bengaluru,11-17 Yrs,hivegas turbinepythonstatistical techniquespower biengineeringcloud deploymentmachine learning
48,Sr . Data Scientist / Manager,Novitas Infotech,"Noida, Gurugram, Bengaluru",7-10 Yrs,customer analyticsSocial mediaAgileCustomer serviceData miningAnalyticsSQLPython
49,Data Scientist,Novitas Infotech,"Noida, Gurugram, Bengaluru",3-7 Yrs,customer analyticsSocial mediaAgileCustomer serviceData miningAnalyticsSQLPython
50,Data Scientist,Nestle,Bengaluru,2-4 Yrs,algorithmspythonmodelingdata analysisdata analyticsnatural language processingpredictivemachine learning
51,Senior Data Scientist,Capco,Bengaluru,6-11 Yrs,Relationship managementData analysisBusiness analysisMachine learningAgileAsset managementAnalyticsFinancial services
52,Staff data scientist,Walmart,Bengaluru,9-10 Yrs,deep learningdata scienceWeb analyticsConsultingMachine learningSEZResearchbig data
53,SAS Data Scientist,Lericon Informatics,"Mumbai, Bengaluru, Delhi / NCR",2-6 Yrs,data miningVisual Analyticsdata analysisadvanced statisticsSASData ScientistR ProgrammingSPSS
54,Manager - Infotech (Data Scientist),Lupin,Mumbai,6-11 Yrs,Pilotadvanced analyticsPrototypeSimulationBusiness designMachine learningmodel developmentOperations
55,Manager - Infotech (Data Scientist),Lupin,Mumbai,5-10 Yrs,Pilotadvanced analyticsPrototypeSimulationMachine learningmodel developmentOperationsManagement
56,Manager - Infotech (Data Scientist),Lupin,Mumbai,5-10 Yrs,advanced analyticsdeep learningPrototypeSimulationMachine learningAgileOperationsAnalytics
57,Lead Data Science,IKS HEALTH,Remote,6-11 Yrs,PythonTensorflowCnnnlprnnLstmNatural Language ProcessingMachine Learning
58,Assistant CMI Manager - Data Scientist,Hindustan Unilever (HUL),Mumbai,2-6 Yrs,data scienceCodingMachine learningdata visualizationDigital marketingEconometricsOpen sourceAnalytics
59,Principal AI Scientist,Pristine Infotech,"Mumbai, Chennai",3-7 Yrs,MiningSupply chainComputer scienceLogistic regressionRFBusiness analysisBusiness planningResearch
60,Manager - Senior Data Scientist,Visa,Mumbai,5-10 Yrs,data scienceCodingConsultingManager Quality ControlRisk managementPortfolio managementAnalyticsSQL
61,A&A -Sr. Data Scientist - AI POD,Deloitte,Bengaluru,3-7 Yrs,Data ScienceAzure MLNLPGitHubPandasJiraAzure DevOpsNumPy
62,Data Scientist (Analytics),Philips,Bengaluru,4-8 Yrs,Data analysisdata scienceBusiness analyticsAnalyticalDiversity and InclusionMachine learningHealthcareOperations
63,Data Scientist - AI / ML,Philips,Bengaluru,4-8 Yrs,EMIComputer visionC++Image processingDiagnosticsHealthcareEMCMATLAB
64,Data Scientist,HP India,Bengaluru,4-8 Yrs,Data Sciencearimadeep learningpythonrregression analysispower birandom forest
65,Data Scientist II,Honeywell,Bengaluru,4-6 Yrs,SQL queriestableauAnalyticalpower biData analyticsAnalyst IIScientist IIPython
66,"Lead, Data Scientist",Salesforce,Hyderabad,6-12 Yrs,Product managementSANAutomationData analysisMachine learningAnalyticsSQLCRM
67,Data Science professional,HP India,Bengaluru,6-11 Yrs,Pythonairflowworkflow orchestrationpysparkmicrosoft azurejupyter notebookdata architecturerelational databases
68,Lead Data Scientist,HP India,Bengaluru,7-11 Yrs,PythonMS CopilotRoperational analysisChatGptbig data analyticsSQL DatabaseAnalytics
69,Data Scientist - Finance,HP India,Bengaluru,7-10 Yrs,Data analyticsJavaC++Data EngineeringData miningForecastingStatistical modelingData Scientist
70,Data Scientist,HP India,Bengaluru,6-8 Yrs,Data Engineeringsoftware developmentembedded systemssystems engineeringsoftware engineeringsoftware product managementETLSoftware
71,Data Scientist,Iifl Samasta,Bengaluru,8-10 Yrs,Data SciencePredictive ModelingCorrelationLogistic RegressionAnalysisStatistical ModelingStatisticsPython
72,Associate Data Scientist,Orange Business Services,Gurugram,1-5 Yrs,Analytical skillsLogistic regressionInterpersonal skillsTime series analysisTime managementMachine learningdelivery operationsForecasting
73,Data Scientist,Ford,Chennai,3-8 Yrs,matlabalgorithmspythondata miningneural networkspresentation skillsproblem solvingrandom forest
74,Senior Engineer - Data Scientist,Renault,Chennai,9-10 Yrs,Usagedata scienceArchitectureResourcingMachine learningInfrastructureCompetency developmentBudgeting
75,Senior Data scientist,Renault,Chennai,8-10 Yrs,UsageArchitectureManager TechnologyCompetency developmentMentorManagementAnalyticsMonitoring
76,Data Scientist,Ltimindtree,"Hybrid - Pune, Bangalore Rural, Mumbai (All Areas)",4-9 Yrs,MLTensorflowPytorchNatural Language ProcessingCloudAIMachine LearningDeep Learning
77,Data Scientist,Crisil,"Mumbai, Pune",2-4 Yrs,Text miningComputer scienceComputer visionData analysisdata scienceNeural networksArtificial IntelligenceMachine learning
78,Data Scientist,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-5 Yrs,deep learningTDDDeploymentNatural language processingtest driven developmentMongoDBSQLPython
79,"Data Scientist (Traditional ML -Predictive Modeling, Forecasting)",Wipro,"Hybrid - Pune, Chennai, Bengaluru",6-11 Yrs,Data SciencePredictive ModelingMachine LearningForecastingMlModelingScienceMachine
80,Pricing Transformation - Computational Scientist,IWG Plc,Pune,4-9 Yrs,Computer scienceAnalytical skillsEmployee retentionSimulationAction planAgilemodel developmentRevenue management
81,Data Scientist,Siemens,Pune,6-9 Yrs,data scienceMachine learningSiemensHTMLData miningBusiness intelligenceOperationsAnalytics
82,Urgent Opportunity For Data scientist in Gurgaon / Mumbai,Orange Business Services,"Hybrid - Gurugram, Mumbai (All Areas)",3-8 Yrs,Artificial IntelligenceAimlMachine LearningDataIntelligenceMachine
83,Data Scientist (Credit Risk),PayU,"Mumbai, Gurugram",2-6 Yrs,Cloud computingdata scienceBfsiUnderwritingMachine learningStakeholder managementFinancial servicesSQL
84,Generative AI Data Scientist,Genpact,"Hyderabad, Gurugram, Bengaluru",8-13 Yrs,Generative AILLMPredictive ModelingNatural Language ProcessingComputer VisionMachine LearningModelingVision
85,Data Scientist-Immediate Joiner-L1(HAckerrank)-please check your email,Altimetrik,"Hybrid - Hyderabad, Chennai, Bengaluru",5-8 Yrs,pythonNLPgenerative AIMachine LearningSQLEmailNatural language processingCheck
86,Data Scientist II,Meredith,Bengaluru,5-10 Yrs,data scienceGCPMachine learningProgrammingMathematicsScientist IIScientist 1Predictive analytics
87,Bosch_Asst Manager / Sr. Engineer - Data Scientist Prognostics,Bosch Global Software Technologies,Bengaluru,3-5 Yrs,PowerBIData ScientistTableauPythonTensorflowMatplotlibPyTorchMachine Learning
88,Data Scientist III,Walmart,Bengaluru,2-7 Yrs,Computer visionPrototypeNetworkingNeural networksMachine learningContinuous improvementInformation technologyMonitoring
89,Senior Data Scientist / AI Specialist,Juniper Networks,Bengaluru,8-10 Yrs,Networkingdata sciencesparkSCALAOpen sourceAnalyticsBrand buildingSQL
90,Software Engineer 4,Juniper Networks,Bengaluru,7-11 Yrs,Data analysisNetworkingNeural networksAnalyticalMachine learningData processingApplication developmentdata visualization
91,Data Scientist,Oracle,"Hybrid - Bengaluru, Karnataka",5-10 Yrs,PythonSQLDockerKubernetesData
92,Senior Data Scientist - Marketplace,Gojek,Bengaluru,5-11 Yrs,Machine learningDistribution systemFinancial servicesSQLPythonRecruitmentLogisticsTechnical documentation
93,Data Scientist,Orange Business Services,Gurugram,3-5 Yrs,AutomationFront endMachine learningJavascriptData processingHTMLApplication developmentCustomer support
94,Senior Data Scientist - Marketplace,Tokopedia,Bengaluru,5-10 Yrs,Machine learningDistribution systemFinancial servicesSQLPythonRecruitmentLogisticsTechnical documentation
95,Data Scientist 2,Optum,Noida,10-12 Yrs,Data ScienceJavadeep learningNLPPower BImachine learningPythonSQL
96,Data Scientist 2,Optum,Noida,10-20 Yrs,Career developmentData analysisCodingMachine learningAgile methodologytest driven developmentSQLTechnical documentation
97,Data Scientist,Conneqt Digital,Bengaluru,5-9 Yrs,Solution architecturedeep learningSASAnalyticalArtificial IntelligenceMachine learningdata visualizationSQL
98,Data Scientist,Ericsson,Noida,3-7 Yrs,Data managementArchitectureCodingArtificial IntelligenceMachine learningBusiness intelligenceOpen sourceAnalytics
99,Data Scientist,Coders Brain Pvt Ltd,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-10 Yrs,Hypothesis TestingPredictive modelingPredictiveHypothesisDataModelingSoftware testing
100,Data Scientist Professional,Coders Brain Pvt Ltd,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-9 Yrs,deep learningPayrollData managementNeural networksArtificial IntelligenceConsultingMachine learningAWS
101,Lead Data Scientist,Sendhelper,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",7-11 Yrs,Computer visionorchestrationdata scienceGCPArtificial IntelligenceMachine learningData structuresApplication development
102,Big data solution,Coders Brain Pvt Ltd,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-14 Yrs,NoSQLFinanceMachine learningProgrammingdata visualizationbig dataFinancial servicesSQL
103,Lead Data Scientist,Netomi,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-8 Yrs,Logistic regressionLMSNeural networksArtificial IntelligenceMachine learningData processingInformation retrievalCustomer service
104,Data Scientist,Open Insights,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-6 Yrs,C++LinuxAgile scrumMachine learningProgrammingObject oriented programmingStatisticsSQL
105,Solution Architect,Scribble Data,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-2 Yrs,NoSQLdata scienceTime series analysisCustomer engagementMATLABSolution ArchitectSQLPython
106,"Senior Associate, Data Scientist",BNY Mellon,Pune,3-6 Yrs,Data analysisBloombergDatabase designArtificial IntelligenceCobolMachine learningAgileScrum
107,AI Developer,Collabera,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",5-10 Yrs,AzureLLMDevopsPythonMicrosoft AzureDevelopmentArtificial Intelligence
108,Data Scientist II,Here Technologies,Mumbai,1-6 Yrs,Computer visionAutomationBackendArtificial IntelligenceAgile developmentMachine learningSoftware development life cycleManager Technology
109,Data Scientist,Tiger Analytics,"Hybrid - Hyderabad, Chennai, Bengaluru",5-7 Yrs,Data ScienceClassificationRegressionMachine LearningPythonPredictive ModelingMachine Learning AlgorithmsStatistical Analyses
110,Data Scientist,Paypal,Bengaluru,1-4 Yrs,SASAnalyticalFinanceCredit riskCustomer experienceData miningFinancial servicesMonitoring
111,Principal IT Data Scientist - R/Python,Medtronic,Hyderabad,10-12 Yrs,Supply chainglobal operationsAutomationMachine learningData collectionManager TechnologyHealthcareNatural language processing
112,Data Scientist,Protiviti India,Remote,5-10 Yrs,Data ScientistMachine LearningPythonForecasting TechniquesDataMachineForecasting
113,"STAFF, DATA SCIENTIST",Walmart,Bengaluru,6-11 Yrs,ConsultingMachine learningSEZData miningContinuous improvementForecastingInformation technologyAnalytics
114,Data Scientist,Acuity Knowledge Partners,Hybrid - Bengaluru,2-5 Yrs,Data ScienceMachine LearningPythonArtificial IntelligenceNatural Language ProcessingLLMMachineData
115,"Staff, Data Scientist",Walmart,Bengaluru,7-11 Yrs,AutomationOperational excellenceConsultingMachine learningData collectionSEZCustomer supportInformation technology
116,Principal Data Scientist,Optum,Hyderabad,7-12 Yrs,Career developmentdeep learningDiversity and InclusionMachine learningManager TechnologyHealthcareSubject matter expertiseForecasting
117,Manager/Senior Manager- Data Scientist - GenAI,Genpact,Bengaluru,6-11 Yrs,GenAIGPTMachine LearningDeep LearningPythonLLaMASQLData
118,"SENIOR, DATA SCIENTIST",Walmart,Bengaluru,1-5 Yrs,Supply chainNetworkingProject managementAnalyticalData miningGamingInformation technologyAnalytics
119,Data Scientist,Infosys,Bengaluru,3-5 Yrs,Data Sciencecampaign managementdeep learningpythonrpredictive analyticsstatistical modelingmachine learning
120,Lead Data Scientist,Becton Dickinson,Bengaluru,8-14 Yrs,AnalyticalPharmaArtificial IntelligenceMachine learningContinuous improvementMonitoringSQLPython
121,Data Scientist (neo4j graphdb and cypher queries ),Essenware,"Warangal, Hyderabad, Nizamabad",2-6 Yrs,neo4jNatural language processingPythonLanguagesProcessingProcessGraph DatabasesData
122,Data Scientist,Ericsson,Noida,5-15 Yrs,Text miningWeb analyticsArchitecturedata scienceNeural networksbig data analyticsArtificial IntelligenceMachine learning
123,Data Scientist,Paypal,Chennai,4-8 Yrs,Stakeholder EngagementData managementRisk analyticsProject managementAnalyticalCommerceQlikViewCredit risk
124,Data Scientist,Nokia,"Noida, Chennai",3-4 Yrs,MiningTelecomNetwork designMachine learningCustomer servicePowerpointOperationsTechnical support
125,Sr. Software Engineer,Essenware,Hyderabad,2-4 Yrs,Solution designdata scienceAnalyticalMachine learningHypothesis TestingPower point presentationData analyticsBusiness intelligence
126,Data Scientist,EA Games (Electronic Arts),Hyderabad,3-8 Yrs,Data ScienceNlpSoftware EngineeringData ScientistNatural Language ProcessingComputer ScienceMachine LearningDeep Learning
127,MACHINE LEARNING / DATA SCIENCE TRAINER,Ethnotech Academy,Bengaluru,2-5 Yrs,Trainingdeep learningtableaudata scienceCodingAnalyticalMachine learningSubject Matter Expert
128,"Senior Engineer, Data Scientist","Wood Group Pratt & Whitney Industrial Turbine Services, LLC",Bengaluru,5-10 Yrs,c#matlabmaster datapythonc++data processingpower bidbms
129,Associate Data Scientist,"Wood Group Pratt & Whitney Industrial Turbine Services, LLC",Bengaluru,3-8 Yrs,gas turbinepythondata analyticsmodelingpower biengineeringmachine learningartificial intelligence
130,Data Scientist,Essenware,Hyderabad,5-6 Yrs,Healthcarepower biBiData
131,Advanced Data Scientist,Honeywell,Hyderabad,4-6 Yrs,Computer scienceAutomationAnalyticalArtificial IntelligenceMachine learningStrategic planningProject planningInformation management
132,Data Scientist- Lead,Salesforce,Hyderabad,6-11 Yrs,Capacity managementData analysisAutomationAnalyticalBusiness intelligenceForecastingAnalyticsMonitoring
133,Data Scientist,Olx,Hybrid - Gurugram,4-5 Yrs,PythonRMachine LearningSQLDataMachine
134,Data Scientist,Essenware,Bengaluru,6-8 Yrs,deep learningVersion controlGITGCPTime managementAnalyticalCloudAgile
135,Data Scientist RWE,Novo Nordisk,Bengaluru,6-11 Yrs,Medical affairsData analysisClaimsSASAnalyticalProject managementHealthcareLife sciences
136,Personalization Platform Senior Data Scientist,Dell Technologies,Bengaluru,12-15 Yrs,Computer sciencedata scienceAnalyticalProgrammingBusiness strategySubject Matter ExpertCustomer experienceCustomer engagement
137,Staff Data Scientist,Inmobi,Bengaluru,10-20 Yrs,Product engineeringMachine learningConceptualizationAgileGeneticsProduct designAnalyticsPython
138,Lead / Senior Data Scientist,Innovaccer,Noida,7-12 Yrs,AnalyticalArtificial IntelligenceMachine learningHealthcareGeneticsLife sciencesContinuous improvementAnalytics
139,AI & Gen AI Data Scientist,Honeywell,Hyderabad,4-6 Yrs,Computer scienceComputer visiondeep learningNetworkingAerospaceMachine learningNatural language processingSQL
140,Global GI Data Scientist,Hitachi Energy,Faridabad,3-5 Yrs,Product managementMarket analysisSales operationsSASAccess managementAnalyticalData collectionSPSS
141,Data Scientist(Predictive Analyst),Adani Group,Kolkata,10-14 Yrs,containerkubernetespythonmodelinganalyticalai solutionspower bimachine learning
142,Senior Data Scientist,Airtel,"Noida, Gurugram",2-5 Yrs,speech recognitionvoice-botconversational AINatural Language ProcessingDeep LearningProcessRecognitionProcessing
143,Data Scientist,Indusind Bank,Gurugram,3-6 Yrs,Risk AnalyticsCredit Risk ModellingPythonSQLModel DevelopmentPredictive ModelingData ScienceSAS
144,Data Scientist,Ericsson,Noida,5-7 Yrs,Text miningArchitectureWeb analyticsGCPNeural networksArtificial IntelligenceMachine learningForecasting
145,Data Scientist,Ericsson,Gurugram,8-13 Yrs,Talent acquisitionMachine learningWorkforce planningBusiness strategyTalent managementAnalyticsReporting toolsSQL
146,Data Scientist,Nokia,Noida,5-9 Yrs,TelecomData analysisAnalyticalMachine learningData collectionmicrosoft azureNatural language processingBusiness intelligence
147,Data Scientist,Indusind Bank,Chennai,3-8 Yrs,Risk AnalyticsCommercial Vehicle LoansMachine LearningPythonPredictive ModelingData ScienceMarketing AnalyticsSQL
148,Senior Data Scientist,Innovaccer,Noida,3-4 Yrs,AnalyticalArtificial IntelligenceMachine learningHealthcareGeneticsLife sciencesContinuous improvementAnalytics
149,Data Scientist,Siemens,Gurugram,2-6 Yrs,Data analysisStatistical analysisdata scienceMachine learningSiemensProgrammingmodel developmentStatistics
150,Data Scientist - Machine Learning,Rpa Infotech,Gurugram,2-7 Yrs,Computer scienceOperations researchdata scienceBfsiNetwork analysisMachine learningSocial networkingNatural language processing
151,Data Scientist,Infimetrics Info Solutions,Remote,3-8 Yrs,hiveData analysisExceldata sciencesparkMachine learningPHPHTML
152,Junior Data Scientist,Adidas,Gurugram,1-6 Yrs,Business administrationData analysisData modelingAnalyticalBrand marketingMachine learningdata visualizationAnalytics
153,Data Scientist,Orange Business Services,Gurugram,2-7 Yrs,deep learningC++AutomationMachine learningSCALAPredictive modelingTechnical supportMonitoring
154,Data Scientist,Times Internet,Noida,3-8 Yrs,Computer sciencedeep learningsparkMachine learningHadoopProgrammingManager Technologybig data
155,Manager- ML Ops,Adidas,Gurugram,4-9 Yrs,Computer scienceMicrostrategyAutomationConsultingMachine learningAgileData qualityMonitoring
156,Data Scientist,Nestle,Gurugram,2-4 Yrs,Machine learningData collectiondata visualizationDataCollectionsMachine
157,Data Scientist,Essenware,Chennai,2-6 Yrs,PayrollGITLinuxdata scienceR Programmingdata visualizationApacheAutomotive
158,Data Scientist,Xebia Academy Global,Remote,8-10 Yrs,MiningText miningLogistic regressionMachine learningData miningOpen sourceContinuous improvementForecasting
159,Agile Coach,Xebia Academy Global,Remote,8-10 Yrs,MiningText miningLogistic regressionMachine learningData miningOpen sourceContinuous improvementForecasting
160,Agile (SAFe) Coach,Xebia Academy Global,Remote,8-10 Yrs,MiningText miningLogistic regressionMachine learningAgileData miningOpen sourceForecasting
161,Python Data Scientist,Wizaltia Hr Solutions,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-7 Yrs,Computer scienceAnalytical skillsData analysisUsageArtificial IntelligenceProgrammingManager TechnologyData analytics
162,Data Scientist,Aurigo Software Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-8 Yrs,deep learningProduct engineeringSQL databaseMachine learningCloudNatural language processingData miningAWS
163,Principal Data Scientist,Blink Health,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-6 Yrs,Supply chainAutomationFinancial reportingPharmaHealthcarePredictive modelingBusiness intelligenceDigital marketing
164,Data Scientist,Rapid Canvas,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-9 Yrs,Computer scienceOperations researchdata scienceGCPMachine learningSAGEData miningAWS
165,Data Scientist,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8-9 Yrs,Computer visiondeep learningdata scienceFocusMachine learningProgrammingNatural language processingPython
