,roles,companies,locations,experience,skills
69,"Lead, Data Scientist",Salesforce,Hyderabad,6-12 Yrs,Product managementSANAutomationData analysisMachine learningAnalyticsSQLCRM
70,Data Science professional,HP India,Bengaluru,6-11 Yrs,Pythonairflowworkflow orchestrationpysparkmicrosoft azurejupyter notebookdata architecturerelational databases
71,Lead Data Scientist,HP India,Bengaluru,7-11 Yrs,PythonMS CopilotRoperational analysisChatGptbig data analyticsSQL DatabaseAnalytics
72,Data Scientist - Finance,HP India,Bengaluru,7-10 Yrs,Data analyticsJavaC++Data EngineeringData miningForecastingStatistical modelingData Scientist
73,Data Scientist,HP India,Bengaluru,6-8 Yrs,Data Engineeringsoftware developmentembedded systemssystems engineeringsoftware engineeringsoftware product managementETLSoftware
74,Data Scientist,Iifl Samasta,Bengaluru,8-10 Yrs,Data SciencePredictive ModelingCorrelationLogistic RegressionAnalysisStatistical ModelingStatisticsPython
75,Data Scientist,Clarivate,Bengaluru,5-8 Yrs,IT servicesComputer scienceData analysisAnalyticalMySQLMachine learningTest planningOracle
76,Associate Data Scientist,Orange Business Services,Gurugram,1-5 Yrs,Analytical skillsLogistic regressionInterpersonal skillsTime series analysisTime managementMachine learningdelivery operationsForecasting
77,Data Scientist,Ford,Chennai,3-8 Yrs,matlabalgorithmspythondata miningneural networkspresentation skillsproblem solvingrandom forest
78,Senior Engineer - Data Scientist,Renault,Chennai,9-10 Yrs,Usagedata scienceArchitectureResourcingMachine learningInfrastructureCompetency developmentBudgeting
79,Senior Data scientist,Renault,Chennai,8-10 Yrs,UsageArchitectureManager TechnologyCompetency developmentMentorManagementAnalyticsMonitoring
80,Data Scientist,Ltimindtree,"Hybrid - Pune, Bangalore Rural, Mumbai (All Areas)",4-9 Yrs,MLTensorflowPytorchNatural Language ProcessingCloudAIMachine LearningDeep Learning
81,Hiring - Data Scientist - Columbus Global - Hyderabad,Columbus Global,Hybrid - Hyderabad/Secunderabad,4-8 Yrs,PythonData SciencePysparkGen AIArtificial IntelligenceHadoopAzure Machine LearningMachine Learning
82,Data Scientist,Crisil,"Mumbai, Pune",2-4 Yrs,Text miningComputer scienceComputer visionData analysisdata scienceNeural networksArtificial IntelligenceMachine learning
83,Data Scientist,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-5 Yrs,deep learningTDDDeploymentNatural language processingtest driven developmentMongoDBSQLPython
84,"Data Scientist (Traditional ML -Predictive Modeling, Forecasting)",Wipro,"Hybrid - Pune, Chennai, Bengaluru",6-11 Yrs,Data SciencePredictive ModelingMachine LearningForecastingMlModelingScienceMachine
85,Pricing Transformation - Computational Scientist,IWG Plc,Pune,4-9 Yrs,Computer scienceAnalytical skillsEmployee retentionSimulationAction planAgilemodel developmentRevenue management
86,Data Scientist,Siemens,Pune,6-9 Yrs,data scienceMachine learningSiemensHTMLData miningBusiness intelligenceOperationsAnalytics
87,Urgent Opportunity For Data scientist in Gurgaon / Mumbai,Orange Business Services,"Hybrid - Gurugram, Mumbai (All Areas)",3-8 Yrs,Artificial IntelligenceAimlMachine LearningDataIntelligenceMachine
88,Data Scientist (Credit Risk),PayU,"Mumbai, Gurugram",2-6 Yrs,Cloud computingdata scienceBfsiUnderwritingMachine learningStakeholder managementFinancial servicesSQL
89,Generative AI Data Scientist,Genpact,"Hyderabad, Gurugram, Bengaluru",8-13 Yrs,Generative AILLMPredictive ModelingNatural Language ProcessingComputer VisionMachine LearningModelingVision
90,Data Scientist-Immediate Joiner-L1(HAckerrank)-please check your email,Altimetrik,"Hybrid - Hyderabad, Chennai, Bengaluru",5-8 Yrs,pythonNLPgenerative AIMachine LearningSQLEmailNatural language processingCheck
91,Data Scientist II,Meredith,Bengaluru,5-10 Yrs,data scienceGCPMachine learningProgrammingMathematicsScientist IIScientist 1Predictive analytics
92,Bosch_Asst Manager / Sr. Engineer - Data Scientist Prognostics,Bosch Global Software Technologies,Bengaluru,3-5 Yrs,PowerBIData ScientistTableauPythonTensorflowMatplotlibPyTorchMachine Learning
93,Data Scientist III,Walmart,Bengaluru,2-7 Yrs,Computer visionPrototypeNetworkingNeural networksMachine learningContinuous improvementInformation technologyMonitoring
94,Senior Data Scientist / AI Specialist,Juniper Networks,Bengaluru,8-10 Yrs,Networkingdata sciencesparkSCALAOpen sourceAnalyticsBrand buildingSQL
95,Software Engineer 4,Juniper Networks,Bengaluru,7-11 Yrs,Data analysisNetworkingNeural networksAnalyticalMachine learningData processingApplication developmentdata visualization
96,Data Scientist,Oracle,"Hybrid - Bengaluru, Karnataka",5-10 Yrs,PythonSQLDockerKubernetesData
97,Senior Data Scientist - Marketplace,Gojek,Bengaluru,5-11 Yrs,Machine learningDistribution systemFinancial servicesSQLPythonRecruitmentLogisticsTechnical documentation
98,Data Scientist,Orange Business Services,Gurugram,3-5 Yrs,AutomationFront endMachine learningJavascriptData processingHTMLApplication developmentCustomer support
99,Senior Data Scientist - Marketplace,Tokopedia,Bengaluru,5-10 Yrs,Machine learningDistribution systemFinancial servicesSQLPythonRecruitmentLogisticsTechnical documentation
100,Data Scientist 2,Optum,Noida,10-12 Yrs,Data ScienceJavadeep learningNLPPower BImachine learningPythonSQL
101,Data Scientist 2,Optum,Noida,10-20 Yrs,Career developmentData analysisCodingMachine learningAgile methodologytest driven developmentSQLTechnical documentation
102,Data Scientist,Conneqt Digital,Bengaluru,5-9 Yrs,Solution architecturedeep learningSASAnalyticalArtificial IntelligenceMachine learningdata visualizationSQL
103,Data Scientist,Ericsson,Noida,3-7 Yrs,Data managementArchitectureCodingArtificial IntelligenceMachine learningBusiness intelligenceOpen sourceAnalytics
104,Data Scientist,Creanovation Technologies,Bengaluru(Whitefield +1),0-1 Yrs,Natural Language ProcessingCodingMachine LearningMachineLanguagesProcessingProcessData
105,Data Scientist,Coders Brain Pvt Ltd,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-10 Yrs,Hypothesis TestingPredictive modelingPredictiveHypothesisDataModelingSoftware testing
106,Data Scientist Professional,Coders Brain Pvt Ltd,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-9 Yrs,deep learningPayrollData managementNeural networksArtificial IntelligenceConsultingMachine learningAWS
107,Lead Data Scientist,Sendhelper,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",7-11 Yrs,Computer visionorchestrationdata scienceGCPArtificial IntelligenceMachine learningData structuresApplication development
108,Big data solution,Coders Brain Pvt Ltd,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-14 Yrs,NoSQLFinanceMachine learningProgrammingdata visualizationbig dataFinancial servicesSQL
109,Lead Data Scientist,Netomi,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-8 Yrs,Logistic regressionLMSNeural networksArtificial IntelligenceMachine learningData processingInformation retrievalCustomer service
110,Data Scientist,Open Insights,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-6 Yrs,C++LinuxAgile scrumMachine learningProgrammingObject oriented programmingStatisticsSQL
111,Solution Architect,Scribble Data,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-2 Yrs,NoSQLdata scienceTime series analysisCustomer engagementMATLABSolution ArchitectSQLPython
112,"Senior Associate, Data Scientist",BNY Mellon,Pune,3-6 Yrs,Data analysisBloombergDatabase designArtificial IntelligenceCobolMachine learningAgileScrum
113,AI Developer,Collabera,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",5-10 Yrs,AzureLLMDevopsPythonMicrosoft AzureDevelopmentArtificial Intelligence
114,Data Scientist II,Here Technologies,Mumbai,1-6 Yrs,Computer visionAutomationBackendArtificial IntelligenceAgile developmentMachine learningSoftware development life cycleManager Technology
115,Data Scientist,Business Toys,Mumbai,0-2 Yrs,Data Scientist - Phd only
116,Senior Data Scientist,Business Toys,Mumbai,0-1 Yrs,Senior Data Scientist
117,Data Scientist,Tiger Analytics,"Hybrid - Hyderabad, Chennai, Bengaluru",5-7 Yrs,Data ScienceClassificationRegressionMachine LearningPythonPredictive ModelingMachine Learning AlgorithmsStatistical Analyses
118,Data Scientist,Paypal,Bengaluru,1-4 Yrs,SASAnalyticalFinanceCredit riskCustomer experienceData miningFinancial servicesMonitoring
119,Principal IT Data Scientist - R/Python,Medtronic,Hyderabad,10-12 Yrs,Supply chainglobal operationsAutomationMachine learningData collectionManager TechnologyHealthcareNatural language processing
120,Data Scientist,Protiviti India,Remote,5-10 Yrs,Data ScientistMachine LearningPythonForecasting TechniquesDataMachineForecasting
121,"STAFF, DATA SCIENTIST",Walmart,Bengaluru,6-11 Yrs,ConsultingMachine learningSEZData miningContinuous improvementForecastingInformation technologyAnalytics
122,Data Scientist,Acuity Knowledge Partners,Hybrid - Bengaluru,2-5 Yrs,Data ScienceMachine LearningPythonArtificial IntelligenceNatural Language ProcessingLLMMachineData
123,"Staff, Data Scientist",Walmart,Bengaluru,7-11 Yrs,AutomationOperational excellenceConsultingMachine learningData collectionSEZCustomer supportInformation technology
124,Principal Data Scientist,Optum,Hyderabad,7-12 Yrs,Career developmentdeep learningDiversity and InclusionMachine learningManager TechnologyHealthcareSubject matter expertiseForecasting
125,Manager/Senior Manager- Data Scientist - GenAI,Genpact,Bengaluru,6-11 Yrs,GenAIGPTMachine LearningDeep LearningPythonLLaMASQLData
126,"SENIOR, DATA SCIENTIST",Walmart,Bengaluru,1-5 Yrs,Supply chainNetworkingProject managementAnalyticalData miningGamingInformation technologyAnalytics
127,Data Scientist,Infosys,Bengaluru,3-5 Yrs,Data Sciencecampaign managementdeep learningpythonrpredictive analyticsstatistical modelingmachine learning
128,Lead Data Scientist,Becton Dickinson,Bengaluru,8-14 Yrs,AnalyticalPharmaArtificial IntelligenceMachine learningContinuous improvementMonitoringSQLPython
129,Data Scientist (neo4j graphdb and cypher queries ),Essenware,"Warangal, Hyderabad, Nizamabad",2-6 Yrs,neo4jNatural language processingPythonLanguagesProcessingProcessGraph DatabasesData
130,Data Scientist,Ericsson,Noida,5-15 Yrs,Text miningWeb analyticsArchitecturedata scienceNeural networksbig data analyticsArtificial IntelligenceMachine learning
131,Data Scientist,Paypal,Chennai,4-8 Yrs,Stakeholder EngagementData managementRisk analyticsProject managementAnalyticalCommerceQlikViewCredit risk
132,Data Scientist,Nokia,"Noida, Chennai",3-4 Yrs,MiningTelecomNetwork designMachine learningCustomer servicePowerpointOperationsTechnical support
133,Sr. Software Engineer,Essenware,Hyderabad,2-4 Yrs,Solution designdata scienceAnalyticalMachine learningHypothesis TestingPower point presentationData analyticsBusiness intelligence
134,Data Scientist,EA Games (Electronic Arts),Hyderabad,3-8 Yrs,Data ScienceNlpSoftware EngineeringData ScientistNatural Language ProcessingComputer ScienceMachine LearningDeep Learning
135,MACHINE LEARNING / DATA SCIENCE TRAINER,Ethnotech Academy,Bengaluru,2-5 Yrs,Trainingdeep learningtableaudata scienceCodingAnalyticalMachine learningSubject Matter Expert
136,"Senior Engineer, Data Scientist","Wood Group Pratt & Whitney Industrial Turbine Services, LLC",Bengaluru,5-10 Yrs,c#matlabmaster datapythonc++data processingpower bidbms
137,Associate Data Scientist,"Wood Group Pratt & Whitney Industrial Turbine Services, LLC",Bengaluru,3-8 Yrs,gas turbinepythondata analyticsmodelingpower biengineeringmachine learningartificial intelligence
138,Data Scientist,Essenware,Hyderabad,5-6 Yrs,Healthcarepower biBiData
139,Advanced Data Scientist,Honeywell,Hyderabad,4-6 Yrs,Computer scienceAutomationAnalyticalArtificial IntelligenceMachine learningStrategic planningProject planningInformation management
140,Data Scientist- Lead,Salesforce,Hyderabad,6-11 Yrs,Capacity managementData analysisAutomationAnalyticalBusiness intelligenceForecastingAnalyticsMonitoring
141,Data Scientist,Olx,Hybrid - Gurugram,4-5 Yrs,PythonRMachine LearningSQLDataMachine
142,Data Scientist,Essenware,Bengaluru,6-8 Yrs,deep learningVersion controlGITGCPTime managementAnalyticalCloudAgile
143,Data Scientist RWE,Novo Nordisk,Bengaluru,6-11 Yrs,Medical affairsData analysisClaimsSASAnalyticalProject managementHealthcareLife sciences
144,Personalization Platform Senior Data Scientist,Dell Technologies,Bengaluru,12-15 Yrs,Computer sciencedata scienceAnalyticalProgrammingBusiness strategySubject Matter ExpertCustomer experienceCustomer engagement
145,Staff Data Scientist,Inmobi,Bengaluru,10-20 Yrs,Product engineeringMachine learningConceptualizationAgileGeneticsProduct designAnalyticsPython
146,Lead / Senior Data Scientist,Innovaccer,Noida,7-12 Yrs,AnalyticalArtificial IntelligenceMachine learningHealthcareGeneticsLife sciencesContinuous improvementAnalytics
147,AI & Gen AI Data Scientist,Honeywell,Hyderabad,4-6 Yrs,Computer scienceComputer visiondeep learningNetworkingAerospaceMachine learningNatural language processingSQL
148,Global GI Data Scientist,Hitachi Energy,Faridabad,3-5 Yrs,Product managementMarket analysisSales operationsSASAccess managementAnalyticalData collectionSPSS
149,Data Scientist(Predictive Analyst),Adani Group,Kolkata,10-14 Yrs,containerkubernetespythonmodelinganalyticalai solutionspower bimachine learning
150,Senior Data Scientist,Airtel,"Noida, Gurugram",2-5 Yrs,speech recognitionvoice-botconversational AINatural Language ProcessingDeep LearningProcessRecognitionProcessing
151,Data Scientist,Indusind Bank,Gurugram,3-6 Yrs,Risk AnalyticsCredit Risk ModellingPythonSQLModel DevelopmentPredictive ModelingData ScienceSAS
152,Data Scientist,Ericsson,Noida,5-7 Yrs,Text miningArchitectureWeb analyticsGCPNeural networksArtificial IntelligenceMachine learningForecasting
153,Data Scientist,Ericsson,Gurugram,8-13 Yrs,Talent acquisitionMachine learningWorkforce planningBusiness strategyTalent managementAnalyticsReporting toolsSQL
154,Data Scientist,Nokia,Noida,5-9 Yrs,TelecomData analysisAnalyticalMachine learningData collectionmicrosoft azureNatural language processingBusiness intelligence
155,Data Scientist,Indusind Bank,Chennai,3-8 Yrs,Risk AnalyticsCommercial Vehicle LoansMachine LearningPythonPredictive ModelingData ScienceMarketing AnalyticsSQL
156,Senior Data Scientist,Innovaccer,Noida,3-4 Yrs,AnalyticalArtificial IntelligenceMachine learningHealthcareGeneticsLife sciencesContinuous improvementAnalytics
157,Data Scientist,Siemens,Gurugram,2-6 Yrs,Data analysisStatistical analysisdata scienceMachine learningSiemensProgrammingmodel developmentStatistics
158,Data Scientist - Machine Learning,Rpa Infotech,Gurugram,2-7 Yrs,Computer scienceOperations researchdata scienceBfsiNetwork analysisMachine learningSocial networkingNatural language processing
159,Data Scientist,Infimetrics Info Solutions,Remote,3-8 Yrs,hiveData analysisExceldata sciencesparkMachine learningPHPHTML
160,Junior Data Scientist,Adidas,Gurugram,1-6 Yrs,Business administrationData analysisData modelingAnalyticalBrand marketingMachine learningdata visualizationAnalytics
161,Data Scientist,Orange Business Services,Gurugram,2-7 Yrs,deep learningC++AutomationMachine learningSCALAPredictive modelingTechnical supportMonitoring
162,Data Scientist,Times Internet,Noida,3-8 Yrs,Computer sciencedeep learningsparkMachine learningHadoopProgrammingManager Technologybig data
163,Manager- ML Ops,Adidas,Gurugram,4-9 Yrs,Computer scienceMicrostrategyAutomationConsultingMachine learningAgileData qualityMonitoring
164,Data Scientist,Nestle,Gurugram,2-4 Yrs,Machine learningData collectiondata visualizationDataCollectionsMachine
165,Data Scientist,Essenware,Chennai,2-6 Yrs,PayrollGITLinuxdata scienceR Programmingdata visualizationApacheAutomotive
166,Data Scientist,Xebia Academy Global,Remote,8-10 Yrs,MiningText miningLogistic regressionMachine learningData miningOpen sourceContinuous improvementForecasting
167,Agile Coach,Xebia Academy Global,Remote,8-10 Yrs,MiningText miningLogistic regressionMachine learningData miningOpen sourceContinuous improvementForecasting
168,Agile (SAFe) Coach,Xebia Academy Global,Remote,8-10 Yrs,MiningText miningLogistic regressionMachine learningAgileData miningOpen sourceForecasting
